Temps;pxt;pyt;pzt;rxt;ryt;rzt;pxb1;pyb1;pzb1;pxb2;pyb2;pzb2;pxb3;pyb3;pzb3;pxb4;pyb4;pzb4rxb1;ryb1;rzb1;rxb2;ryb2;rzb2;rxb3;ryb3;rzb3;rxb4;ryb4;rzb4
0:0;-3.606323;1.354678;3.550189;357.3873;359.3246;4.395807;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:0;-3.606412;1.354614;3.550195;357.3733;359.2998;4.408684;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:0;-3.606412;1.354614;3.550195;357.3733;359.2998;4.408684;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:0;-3.606523;1.354513;3.550207;357.4041;359.2331;4.407278;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:0;-3.60652;1.354549;3.550249;357.4109;359.2268;4.404094;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:0;-3.606515;1.354612;3.55031;357.4065;359.2027;4.412126;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:0;-3.606533;1.35463;3.550354;357.3957;359.1968;4.427305;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:0;-3.606533;1.354491;3.550475;357.4161;359.198;4.417233;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:0;-3.606533;1.354491;3.550475;357.4161;359.198;4.417233;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:0;-3.606495;1.354386;3.550576;357.4538;359.2023;4.399754;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
