Temps;pxt;pyt;pzt;rxt;ryt;rzt;pxb1;pyb1;pzb1;pxb2;pyb2;pzb2;pxb3;pyb3;pzb3;pxb4;pyb4;pzb4rxb1;ryb1;rzb1;rxb2;ryb2;rzb2;rxb3;ryb3;rzb3;rxb4;ryb4;rzb4
0:0;-3.55;1.3;3.55;0;0;0;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:0;-4.045839;0.9646268;3.446318;8.334971;0.3043771;359.5768;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:0;-4.045925;0.9646067;3.446273;8.318063;0.2838999;359.5862;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:0;-4.045925;0.9646067;3.446273;8.318063;0.2838999;359.5862;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:0;-4.046406;0.9645516;3.445941;8.353617;0.2545942;359.6912;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:0;-4.046406;0.9645516;3.445941;8.353617;0.2545942;359.6912;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:0;-4.046522;0.9645635;3.445866;8.34833;0.2508376;359.7119;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:0;-4.046823;0.9646665;3.445741;8.284179;0.2691408;359.7982;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:0;-4.046823;0.9646665;3.445741;8.284179;0.2691408;359.7982;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:0;-4.046917;0.9646991;3.445709;8.258846;0.2799763;359.8349;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:0;-4.047056;0.9647506;3.445644;8.256959;0.2789731;359.8876;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:0;-4.047134;0.9647587;3.445624;8.266198;0.2969782;359.9041;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:0;-4.047219;0.9647408;3.44561;8.272605;0.3359585;359.9045;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:0;-4.047219;0.9647408;3.44561;8.272605;0.3359585;359.9045;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:0;-4.047183;0.9647474;3.445646;8.261971;0.345918;359.8937;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:0;-4.04715;0.9647433;3.445671;8.254866;0.3489349;359.8793;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:0;-4.047099;0.9646974;3.445682;8.261043;0.3329311;359.857;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:0;-4.047064;0.9646497;3.445698;8.267498;0.3237977;359.8453;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:0;-4.047047;0.9646387;3.445665;8.279273;0.3104413;359.8415;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:0;-4.047027;0.9645714;3.445595;8.249553;0.2205243;359.8344;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:0;-4.047027;0.9645714;3.445595;8.249553;0.2205243;359.8344;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:0;-4.047052;0.9645092;3.445533;8.231682;0.1434182;359.8427;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:0;-4.047069;0.9645089;3.445459;8.241889;0.1216717;359.8386;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:0;-4.047103;0.9644662;3.44532;8.224215;0.04896909;359.8458;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.047131;0.9644685;3.445222;8.22438;0.01024449;359.8505;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.047178;0.9644766;3.445143;8.210103;-0.003179757;359.8586;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.047204;0.964541;3.444989;8.15028;359.9422;359.8676;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
